ID,Name,LastName,AnimalName,PetType
1,Lillian,Grady,Emerald green tree boa,Grizzly bear
2,Martin,Newton,Blue wildebeest,Wolverine
3,Rosie,Mackenzie,Possum,Avocet
4,Martha,Varley,Brazilian tapir,Eurasian hoopoe
5,Percy,Bloom,Griffon vulture,Dassie
6,Kirsten,Nicolas,Chicken,Fairy penguin
7,Claire,Pearce,Weasel,King cormorant
8,Kaylee,Higgs,Eastern boa constrictor,JellyFish
9,Rocco,Pitt,Gambels quail,Giraffe
10,Javier,Oatway,Lemur,Kaffir cat
11,Benjamin,Summers,Eastern fox squirrel,Deer
12,Anais,Butler,Giant armadillo,Galapagos sea lion
13,Benny,Vaughn,Cape raven,European badger
14,Zoe,Roberts,Eurasian red squirrel,Bushbuck
15,Karen,Morris,Black-footed ferret,Cattle egret
16,Bethany,Victor,Dabchick,Clown Fish
17,Priscilla,Cox,Grizzly bear,Flightless cormorant
18,Anthony,Burge,Canadian river otter,Great white pelican
19,Florence,Adams,Horned puffin,Hedgedog
20,Enoch,Bell,Dusky rattlesnake,Eastern boa constrictor
21,Abbey,Sloan,Fly,Eastern cottontail rabbit
22,Carl,Martin,Toucan,European shelduck
23,Roger,Douglas,Possum,Fly
24,Rufus,Vallory,Comb duck,Bush dog
25,Josh,Nash,Collared lemming,Jabiru stork
26,Melania,Oakley,Ladybug,Deer
27,Violet,Moss,Bear,Collared lizard
28,Chester,Flanders,Catfish,Alpaca
29,Joseph,Andrews,Bush dog,Crested porcupine
30,Sadie,Butler,Cereopsis goose,Eurasian beaver
31,Leilani,Watson,Barking gecko,Great cormorant
32,Rose,Mitchell,Zebra,Common zebra
33,Sabina,Nayler,Wallaby,Common wombat
34,Maria,Notman,California sea lion,JellyFish
35,Marie,Vass,Gerenuk,California sea lion
36,Peter,Mooney,eagle,Blue catfish
37,Phoebe,Styles,Monkey,Snake
38,Harvey,Nurton,Leopard,Cape Barren goose
39,Bryon,Lakey,Galapagos tortoise,Collared lemming
40,Evie,Ellery,Gray heron,Golden eagle
41,Angelina,Donnelly,Ferret,Eastern grey kangaroo
42,Eduardo,Bryson,Dog,Bobcat
43,Daniel,Roberts,Zebra,Capybara
44,Morgan,Blythe,Blue peacock,Herring gull
45,Susan,Dickson,Blue peacock,Frilled lizard
46,Sabina,Norton,Gila monster,Deer
47,Callie,Parr,Egyptian vulture,Bear
48,Josh,Coates,Four-horned antelope,Common pheasant
49,Mason,Eyres,Giant otter,Black rhinoceros
50,Felicity,Hall,Indian peacock,African lion
51,Alma,Fisher,Dog,Common shelduck
52,Ryan,Robe,Collared lizard,Koala
53,Denny,Ainsworth,Bushpig,American buffalo
54,Carmella,Curtis,Crested porcupine,Golden eagle
55,Clint,Mcleod,Galah,Monkey
56,Louise,Bryant,Panda,European beaver
57,Rae,Roscoe,Avocet,Zebra
58,Mandy,Bloom,Black spider monkey,wasp
59,Jackeline,Jones,Hamster,Impala
60,Domenic,Pope,Bush dog,Cheetah
61,Clint,Steer,Greater flamingo,Giraffe
62,Eileen,Redwood,Dusky gull,Eurasian hoopoe
63,Julia,Williams,Burrowing owl,Barking gecko
64,Miriam,Weldon,Impala,Feral rock pigeon
65,Madelyn,Scott,Indian jackal,Sea Elephant
66,Selena,Robertson,Yak,African lion
67,Isla,Clifton,Blue peacock,Penguin
68,Jamie,Hamilton,Black rhinoceros,Jungle kangaroo
69,Logan,Russell,Giant girdled lizard,Barking gecko
70,Summer,Bullock,Red Panda,California sea lion
71,Johnathan,Lomax,Sloth,Great egret
72,Cedrick,Scott,Cape Barren goose,Giant otter
73,Denis,Stuart,Cormorant,Cape fox
74,Jayden,Harris,Huron,Indian jackal
75,Ryan,Wellington,Bald Eagle,Red Panda
76,Cassidy,Watt,Sea Lion,Feathertail glider
77,Faith,Robe,Harrie,Galapagos hawk
78,Doris,Samuel,Carmine bee-eater,Galah
79,Violet,Garner,Gray heron,wasp
80,Percy,Jenkin,Seal,European badger
81,Florence,Clayton,Rat,Eastern cottontail rabbit
82,Bart,Ripley,Galapagos dove,Bat
83,Angelica,Flett,Wallaby,Desert spiny lizard
84,Denis,Ellis,Hanuman langur,Bush dog
85,Juliette,Pierce,Gila monster,Harrie
86,Matt,Martin,Crested barbet,Common ringtail
87,Javier,Kerr,Seal,Giraffe
88,Kassandra,Isaac,JellyFish,Sparrow
89,Tess,Farmer,Galapagos albatross,Armadillo
90,Jazmin,Adams,Chacma baboon,Hippopotamus
91,Carmen,Larkin,Galapagos penguin,Rat
92,John,Cooper,Baboon,Koala
93,Denis,Kelly,Scorpion,Common ringtail
94,Ron,Waterhouse,Snake,Gambels quail
95,Aiden,Sheldon,Black rhinoceros,Jungle cat
96,Havana,Wilkinson,Badger,Kori bustard
97,Angelina,Baxter,Emu,Collared lemming
98,Domenic,Parr,Ferruginous hawk,Dabchick
99,Clint,Fields,Blue duck,Bobcat
100,Henry,Drew,Brown hyena,Carpet python
101,Anne,Payne,Vulture,Fly
102,Jack,Maxwell,Rat,Bear
103,Johnny,Donovan,Vulture,Fly
