ID,Name,LastName,AnimalName,PetType
1,David,Devonport,Bald Eagle,Dusky rattlesnake
2,Regina,Miller,Bushbuck,Black-tailed deer
3,Winnie,Price,Avocet,Kelp gull
4,Ron,Walsh,Horned lark,Gray heron
5,Carla,Coates,Cape cobra,Killer whale
6,Makena,Varndell,FireFly,Galapagos albatross
7,Jayden,Olivier,Koala,Tree Frog
8,Abdul,Chapman,Giant armadillo,Boar
9,Jayden,Collingwood,Honey badger,Lion
10,Davina,Jarvis,Common turkey,Grizzly bear
11,Danny,Thorne,Kudu,Black rhinoceros
12,Elly,Adams,Giant heron,Japanese macaque
13,Liam,Phillips,Japanese macaque,Zebu
14,Miley,Clifford,Grizzly bear,Black-footed ferret
15,Drew,Mould,Kudu,Galapagos sea lion
16,Carter,Patel,Avocet,Crab
17,Makenzie,Denton,Indian star tortoise,Dodo
18,Angelica,Brennan,Huron,European spoonbill
19,Aiden,Price,Dabchick,Cattle egret
20,Cassandra,Chappell,Gray rhea,Common pheasant
21,Lily,Utterson,Horned lark,Euro wallaby
22,Logan,Jarvis,Collared lemming,Calf
23,Chloe,Haines,Carpet python,Scorpion
24,Michael,Potts,Gray rhea,Brown lemur
25,Harvey,Addis,Kinkajou,Galapagos hawk
26,Fred,Rossi,Cormorant,Cape raven
27,Bob,Eagle,Black-capped chickadee,Coyote
28,Andie,Whatson,Feathertail glider,Koala
29,Hank,Edler,Huron,Great egret
30,Mike,Miller,Cat,Komodo Dragon
31,Chester,Wilton,Brown pelican,Cereopsis goose
32,Mabel,Townend,Brown pelican,European beaver
33,Sharon,Stanley,FireFly,Falcon
34,Lillian,Donovan,Dabchick,Emerald green tree boa
35,Danny,Ross,Brown capuchin,Weasel
36,Destiny,Buckley,Giant heron,Fly
37,Kaylee,Widdows,Gray heron,Caribou
38,Elena,Coll,Herring gull,Common green iguana
39,Lucas,Ebbs,Blue shark,Monkey
40,Luna,Wilton,Somali,Field flicker
41,Ryan,Doherty,Harbor seal,Gerenuk
42,Scarlett,Slater,Koala,Raccoon
43,Chadwick,Ring,Jaguarundi,Collared lemming
44,Alessandra,Gilbert,Brown pelican,Baboon
45,Ruth,Preston,Boar,Hawk-headed parrot
46,Lexi,Burge,Swan,Fly
47,Doris,Blythe,Dusky gull,Horse
48,Esmeralda,Wilkinson,Vulture,Hoary marmot
49,Denny,Darcy,Cape fox,Wallaby
50,Rosie,Edley,Eastern grey kangaroo,Collared lizard
51,Nate,Rodgers,Galah,Armadillo
52,Caitlyn,Gunn,Kudu,Goliath heron
53,Taylor,Dyson,Common turkey,Arctic fox
54,Mackenzie,Clark,Hippopotamus,Eurasian beaver
