ID,Name,LastName,AnimalName,PetType
1,Denny,Pearce,Indian porcupine,Snake
2,Brad,Carter,Chicken,Caribou
3,Ryan,Fisher,Euro wallaby,Honey badger
4,Harry,Hall,Alpaca,Komodo Dragon
5,Kendra,Leslie,Fisher,Greater flamingo
6,Peter,Lakey,African lion,Ferret
7,Michael,Gregory,Wolverine,Dog
8,Mara,Collins,Gerenuk,King cormorant
9,Denny,Raven,Black rhinoceros,Giant armadillo
10,Bryce,Lewin,Indian porcupine,Zebra
11,Daniel,Pitt,Donkey,Greater flamingo
12,Nate,Bloom,Four-horned antelope,Koala
13,Mary,Graham,Carmine bee-eater,Giant heron
14,Chris,Gilbert,Dromedary camel,Javan gold-spotted mongoose
15,Oliver,Eyres,Bison,Black-tailed prairie dog
16,David,Horton,Giant anteater,Hippopotamus
17,Skylar,Ainsworth,Deer,European badger
18,Noemi,Morris,Antelope,Harrie
19,Vanessa,Dyson,Indian star tortoise,Buttermilk snake
20,Jazmin,Price,Gray duiker,Great kiskadee
21,Harry,Allen,Sea Lion,Common pheasant
22,Sabrina,Thomas,Jungle kangaroo,Galapagos albatross
23,Sylvia,Vinton,Hanuman langur,Egyptian goose
24,Summer,Watt,Alpaca,Dusky gull
25,Johnny,Ellison,Panda,European stork
26,Daron,Judd,Wolf,Cape fox
27,Zoe,Vane,Black spider monkey,Dusky gull
28,Daron,Roth,Hedgedog,Jungle cat
29,Josh,Yang,Hawk-headed parrot,Hamster
30,Nancy,Parker,Egyptian viper,European shelduck
31,Elijah,Howard,Eastern white pelican,Carmine bee-eater
32,Sage,Farmer,Falcon,Giraffe
33,Evelynn,Wilson,Falcon,Duck
34,Mason,Abbey,Galapagos mockingbird,Egyptian goose
35,Domenic,Beal,Dromedary camel,Dabchick
36,Liam,Egerton,Common green iguana,Fairy penguin
37,Ryan,Wellington,Gorilla,Downy woodpecker
38,Makenzie,Palmer,Field flicker,Giant girdled lizard
39,Rosemary,Bell,Zebra,Collared lizard
40,Rick,Khan,Canada goose,squid
41,Molly,Logan,European wild cat,Falcon
42,Alan,Sloan,European wild cat,Scorpion
43,John,Jones,Kongoni,Carpet python
44,Ronald,Atkinson,Gray langur,Dabchick
45,Abbey,Ellis,Chital,Falcon
46,Nate,Gilmour,Emu,Clown Fish
47,Bryon,Keys,Black-tailed prairie dog,Fisher
48,Tania,Vane,Jabiru stork,Eurasian red squirrel
49,Wade,Pearson,Dromedary camel,Shirmp
50,Domenic,Willson,Feral rock pigeon,Possum
